Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
South Sudan,SSD,2006,5.04164187983342,1654.21153546555,5.00627361534047,74.225,4.96525465188372,12.268,16.9509881842643
South Sudan,SSD,2007,5.04164187983342,1654.21153546555,5.00627361534047,74.106,5.03930740277703,12.266,16.9986889512954
South Sudan,SSD,2008,5.04164187983342,1654.21153546555,5.00627361534047,73.992,4.98590020248472,12.298,17.0301141193955
South Sudan,SSD,2009,5.04164187983342,1323.22068747862,5.00627361534047,73.899,4.71716057220357,12.438,17.2937284639317
South Sudan,SSD,2010,5.49341639529945,1498.27034985194,1.16962180301108,73.761,5.29254618151503,12.473,17.535620199576
South Sudan,SSD,2011,-4.64031673600859,1448.98435006408,46.8521757193597,73.622,5.41366403885379,12.585,17.7817678106789
South Sudan,SSD,2012,-46.0821223743007,1109.26050083408,45.5258978371706,73.565,4.44972889782953,12.803,18.0321885447664
South Sudan,SSD,2013,13.1297311406943,1650.18943353528,-0.0580909784225664,73.553,3.74120236356755,12.665,18.2868996493633
South Sudan,SSD,2014,3.37364847715736,1242.73450181032,1.6742990629552,73.69,0.614232824755906,12.561,18.5459183719929
South Sudan,SSD,2015,-10.7933646271143,1080.14718624765,52.7663304192143,73.829,-1.14143555707987,12.464,18.8092619601773
South Sudan,SSD,2016,-10.7933646271143,1080.14718624765,379.999585624026,73.978,-2.52965683465808,12.854,19.0769476614377
South Sudan,SSD,2017,-10.7933646271143,1080.14718624765,187.851630279442,74.269,-5.41590990485178,12.983,19.3489927232944
South Sudan,SSD,2018,-10.7933646271143,1080.14718624765,83.5015294922,74.238,-1.33625896422837,12.853,19.6254143932663
South Sudan,SSD,2019,-10.7933646271143,1080.14718624765,87.2413641500032,73.937,2.92439531185626,12.656,19.9062299188719
South Sudan,SSD,2020,-10.7933646271143,1080.14718624765,29.6758435538572,73.234,2.60487164966918,14.246,20.1914565476286
South Sudan,SSD,2021,-10.7933646271143,1080.14718624765,10.5167158294358,73.504,1.55179411079181,13.95,20.4811115270532
South Sudan,SSD,2022,-10.7933646271143,1080.14718624765,-6.68732094212668,73.536,1.42002025455897,12.475,20.7752121046616
South Sudan,SSD,2023,-10.7933646271143,1080.14718624765,2.38280434813754,73.408,4.10816463205266,12.374,21.0737755279692
Tanzania,TZA,2000,4.52078463603256,401.698150634766,5.92396109637479,86.441,2.84152432501121,3.129,22.1944164040635
Tanzania,TZA,2001,6.07080828734129,396.638732910156,5.14746800222618,86.438,2.70152074754623,2.994,22.5963228653037
Tanzania,TZA,2002,7.09319498355502,402.649047851563,5.31783366118203,86.84,2.58850722069614,3.023,23.0306918214565
Tanzania,TZA,2003,6.67278983053497,422.18359375,5.30356621509782,87.232,2.64525638066994,3.053,23.5202087261949
Tanzania,TZA,2004,7.50381465859829,450.385284423828,4.73580143949058,87.614,2.71326096371365,3.105,24.0832469119457
Tanzania,TZA,2005,7.47631925974784,483.334869384766,5.03457009267163,87.987,2.77513941065557,3.193,24.7061884538741
Tanzania,TZA,2006,6.53222138847813,475.746734619141,7.25097262082546,88.349,2.80055623798532,3.299,25.3741033202009
Tanzania,TZA,2007,6.76853520293716,543.198303222656,7.02551436974771,87.864,2.79133312179469,3.023,26.0720614791471
Tanzania,TZA,2008,5.68641685905224,675.977233886719,10.2783937621135,87.362,2.70285900109119,2.775,26.7851328989335
Tanzania,TZA,2009,5.26910524873463,693.823547363281,12.1422278742988,86.842,2.46693695085578,2.5,27.498387547781
Tanzania,TZA,2010,6.33652342666889,736.530151367188,6.20015595647403,86.305,2.54448522649017,3.03,28.1968953939105
Tanzania,TZA,2011,7.67215543486064,775.392761230469,12.6909694699162,85.749,2.79985031213535,3.47,28.865726405543
Tanzania,TZA,2012,4.50015356010131,861.969909667969,16.0010938506338,85.174,2.8799437394168,3.223,29.4878764597911
Tanzania,TZA,2013,6.78158560065316,963.05712890625,7.87072364573959,84.58,3.01455736724095,2.93,30.0725108782502
Tanzania,TZA,2014,6.73246186832483,1022.74841308594,6.13161432988012,83.967,3.08040316049107,2.125,30.6443077170742
Tanzania,TZA,2015,6.16062877406682,939.127319335938,5.58816952959298,83.935,3.26181042317192,2.009,31.2061566592472
Tanzania,TZA,2016,6.86711619644551,953.0107421875,5.17476629301493,83.894,3.40729531415315,1.931,31.7577303242916
Tanzania,TZA,2017,6.72726996832438,986.674011230469,5.31871605228931,83.86,3.3414302210835,1.854,32.2987013317296
Tanzania,TZA,2018,5.50267599384966,1023.10626220703,3.49445848856181,83.834,3.15572113764533,1.792,32.8287423010834
Tanzania,TZA,2019,5.79999999996723,1063.32250976563,3.46428057999021,83.811,2.98060939385811,1.735,33.3475258518752
Tanzania,TZA,2020,1.99196460647855,1117.41528320313,3.29029062798325,82.837,2.99305168844906,1.792,33.8547246036273
Tanzania,TZA,2021,4.32138429480482,1159.85656738281,3.69091958802199,83.733,3.00113934816488,1.876,34.3500111758619
